,name,mae,smape,mase_1,mase_p,period,rmse,ll,crps,fcast_len,train_len,score,score_name,folder,idx,train_waic
0,SVGP 100 WAIC 1,0.20771725475788116,0.39011526107788086,1.0709125995635986,0.22194840013980865,366,0.27714765071868896,-282.73433137100403,0.15301330387592316,1732,24252,-0.30412757396698,waic,calls,13,-0.30411747097969055
1,PROPHET,0.20926591753959656,0.402071475982666,1.0788969993591309,0.22360315918922424,366,0.2743508219718933,-213.28742195057828,0.1500001698732376,1732,24252,,,calls,13,
2,PROPHETDEF,0.20666201412677765,0.39689159393310547,1.0654722452163696,0.2208208590745926,366,0.27184101939201355,-275.5030397140821,0.15096144378185272,1732,24252,,,calls,13,
3,stfl,0.28826767206192017,0.5374739170074463,1.4862004518508911,0.3080174922943115,366,0.3702435791492462,-1302.5185382912514,0.2384323924779892,1732,24252,,,calls,13,
4,tbats,0.6848833560943604,1.084218978881836,3.531002998352051,0.7318061590194702,366,0.817802906036377,-3450.149499681207,0.8345702290534973,1732,24252,,,calls,13,
