,name,mae,smape,mase_1,mase_p,period,rmse,ll,crps,fcast_len,train_len,score,score_name,folder,idx,train_waic
0,SVGP 100 WAIC 1,0.24317482113838196,0.44295722246170044,1.2630586624145508,0.26016804575920105,366,0.3082975447177887,-421.40938681637385,0.1728237122297287,1732,22520,-0.3043038547039032,waic,calls,12,-0.30424487590789795
1,PROPHET,0.23765243589878082,0.43957555294036865,1.234375238418579,0.25425973534584045,366,0.30363982915878296,-405.6857354315939,0.16975289583206177,1732,22520,,,calls,12,
2,PROPHETDEF,0.23929737508296967,0.44168540835380554,1.2429190874099731,0.25601962208747864,366,0.30532512068748474,-391.8343894438974,0.1704476922750473,1732,22520,,,calls,12,
3,stfl,0.29731205105781555,0.5273030400276184,1.544249415397644,0.3180884122848511,366,0.3813253939151764,-1317.6778196889934,0.2503356337547302,1732,22520,,,calls,12,
4,tbats,0.48295533657073975,0.856990396976471,2.5084872245788574,0.5167045593261719,366,0.6153435111045837,-3011.002990695541,0.6333910226821899,1732,22520,,,calls,12,
