,name,mae,smape,mase_1,mase_p,period,rmse,ll,crps,fcast_len,train_len,score,score_name,folder,idx,train_waic
0,SVGP 100 WAIC 1,0.2087455838918686,0.41653984785079956,1.0717991590499878,0.22209636867046356,366,0.2661900818347931,-191.68616200483442,0.14947174489498138,1732,6932,-0.3731619715690613,waic,calls,3,-0.37281689047813416
1,PROPHET,0.24685777723789215,0.4746047854423523,1.2674853801727295,0.2626461088657379,366,0.30441755056381226,-459.7469298772462,0.1736941784620285,1732,6932,,,calls,3,
2,PROPHETDEF,0.22264719009399414,0.4368749260902405,1.1431766748428345,0.23688708245754242,366,0.2775629758834839,-304.35308590194177,0.1581689715385437,1732,6932,,,calls,3,
3,stfl,0.2823706865310669,0.5400180220603943,1.4498255252838135,0.3004303276538849,366,0.34673887491226196,-1126.2039607423737,0.23058255016803741,1732,6932,,,calls,3,
4,tbats,0.47511425614356995,0.7398415207862854,2.439462661743164,0.5055012702941895,366,0.5563369989395142,-1802.394792415956,0.3509138822555542,1732,6932,,,calls,3,
