,name,mae,smape,mase_1,mase_p,period,rmse,ll,crps,fcast_len,train_len,score,score_name,folder,idx,train_waic
0,SVGP 100 WAIC 1,0.2465684711933136,0.5030583143234253,1.272563099861145,0.25978484749794006,366,0.31010332703590393,-438.2135159608443,0.17515093088150024,1732,5200,-0.28236091136932373,waic,calls,2,-0.28214457631111145
1,PROPHET,0.2167350947856903,0.4456714391708374,1.118590235710144,0.2283523678779602,366,0.27095848321914673,-209.2217429975952,0.15208610892295837,1732,5200,,,calls,2,
2,PROPHETDEF,0.22368387877941132,0.46517956256866455,1.1544535160064697,0.23567362129688263,366,0.27878648042678833,-241.73380928799705,0.15651342272758484,1732,5200,,,calls,2,
3,stfl,0.35009095072746277,0.7098986506462097,1.8068523406982422,0.368856281042099,366,0.4268679916858673,-1438.9738857192629,0.2748449146747589,1732,5200,,,calls,2,
4,tbats,0.36318790912628174,0.7155447602272034,1.874446988105774,0.38265523314476013,366,0.4288141131401062,-1727.6862289841233,0.3138173520565033,1732,5200,,,calls,2,
