,name,mae,smape,mase_1,mase_p,period,rmse,ll,crps,fcast_len,train_len,score,score_name,folder,idx,train_waic
0,SVGP 100 WAIC 1,0.32118386030197144,0.5455734133720398,1.6225329637527466,0.3430749177932739,366,0.41851773858070374,-971.3823579835844,0.23208832740783691,1732,10396,-0.6358369588851929,waic,calls,5,-0.635840117931366
1,PROPHET,0.41019514203071594,0.6243698000907898,2.0721936225891113,0.4381529688835144,366,0.5026862621307373,-2453.7223729364305,0.3072800636291504,1732,10396,,,calls,5,
2,PROPHETDEF,0.42664045095443726,0.6436460018157959,2.15527081489563,0.45571914315223694,366,0.517922580242157,-1626.5943975816933,0.3003041744232178,1732,10396,,,calls,5,
3,stfl,0.35475045442581177,0.5488364696502686,1.7921022176742554,0.3789293169975281,366,0.4435479938983917,-1341.8857747122915,0.2672746181488037,1732,10396,,,calls,5,
4,tbats,0.27672648429870605,0.4633216857910156,1.3979464769363403,0.2955874502658844,366,0.37711772322654724,-1105.380946623528,0.2176833152770996,1732,10396,,,calls,5,
