,name,mae,smape,mase_1,mase_p,period,rmse,ll,crps,fcast_len,train_len,score,score_name,folder,idx,train_waic
0,SVGP 100 WAIC 1,0.30940166115760803,0.5000336170196533,1.5919703245162964,0.3326263725757599,366,0.4106988310813904,-920.2049300911866,0.22597964107990265,1732,17324,-0.5726034641265869,waic,calls,9,-0.572558581829071
1,PROPHET,0.23868289589881897,0.36932212114334106,1.2280997037887573,0.25659921765327454,366,0.3132193982601166,-481.85188845896977,0.17246262729167938,1732,17324,,,calls,9,
2,PROPHETDEF,0.25235867500305176,0.38512444496154785,1.2984659671783447,0.2713015675544739,366,0.3333427309989929,-710.9325811208789,0.1872275322675705,1732,17324,,,calls,9,
3,stfl,0.3364698588848114,0.4760255813598633,1.7312448024749756,0.36172640323638916,366,0.4240017831325531,-1390.9948033790856,0.27452367544174194,1732,17324,,,calls,9,
4,tbats,0.25200000405311584,0.3661385774612427,1.296620488166809,0.2709159553050995,366,0.33899128437042236,-1674.7047636104053,0.29011234641075134,1732,17324,,,calls,9,
