,name,mae,smape,mase_1,mase_p,period,rmse,ll,crps,fcast_len,train_len,score,score_name,folder,idx,train_waic
0,SVGP 100 WAIC 1,0.2268924117088318,0.35450127720832825,1.161181926727295,0.24283142387866974,366,0.302409827709198,-528.9044087785592,0.1715443879365921,1732,15592,-0.6396400332450867,waic,calls,8,-0.6394655704498291
1,PROPHET,0.21087683737277985,0.3417121171951294,1.0792180299758911,0.22569076716899872,366,0.2799663841724396,-250.93895324987307,0.15205420553684235,1732,15592,,,calls,8,
2,PROPHETDEF,0.21406765282154083,0.3464895486831665,1.0955479145050049,0.22910574078559875,366,0.28287550806999207,-217.52233952308387,0.15375420451164246,1732,15592,,,calls,8,
3,stfl,0.33990296721458435,0.5108000040054321,1.7395434379577637,0.3637808859348297,366,0.43359699845314026,-1289.3553670063995,0.26332610845565796,1732,15592,,,calls,8,
4,tbats,0.6324622631072998,0.8189380764961243,3.236793041229248,0.6768922209739685,366,0.8941465020179749,-2785.9793229918455,0.617299497127533,1732,15592,,,calls,8,
