,name,mae,smape,mase_1,mase_p,period,rmse,ll,crps,fcast_len,train_len,score,score_name,folder,idx,train_waic
0,SVGP 100 WAIC 1,0.2788293957710266,0.39396706223487854,1.4094184637069702,0.298343688249588,366,0.3713119328022003,-798.7920577149247,0.20676955580711365,1732,13860,-0.5049279928207397,waic,calls,7,-0.5050680041313171
1,PROPHET,0.3860645592212677,0.5539425611495972,1.951467514038086,0.41308385133743286,366,0.4746173918247223,-2005.2380243654625,0.2859567105770111,1732,13860,,,calls,7,
2,PROPHETDEF,0.3625279664993286,0.5194641351699829,1.8324954509735107,0.3879000246524811,366,0.45306095480918884,-1728.876075875042,0.2664599120616913,1732,13860,,,calls,7,
3,stfl,0.3874477446079254,0.5619876980781555,1.9584591388702393,0.4145638644695282,366,0.5033769607543945,-2068.942768019786,0.3153976798057556,1732,13860,,,calls,7,
4,tbats,0.36431771516799927,0.5226508975028992,1.8415422439575195,0.3898150324821472,366,0.47931909561157227,-2252.042090886639,0.40160584449768066,1732,13860,,,calls,7,
