,name,mae,smape,mase_1,mase_p,period,rmse,ll,crps,fcast_len,train_len,score,score_name,folder,idx,train_waic
0,SVGP 100 WAIC 1,0.22232256829738617,0.38116249442100525,1.1424200534820557,0.23755350708961487,366,0.3138118088245392,-455.549627104043,0.1664610356092453,1732,25984,-0.3038313090801239,waic,calls,14,-0.30382683873176575
1,PROPHET,0.23105691373348236,0.40383318066596985,1.1873021125793457,0.2468862235546112,366,0.32630500197410583,-595.9541822891856,0.1707341969013214,1732,25984,,,calls,14,
2,PROPHETDEF,0.2463204264640808,0.4293772280216217,1.2657346725463867,0.2631954252719879,366,0.34333303570747375,-696.6390621407783,0.18418166041374207,1732,25984,,,calls,14,
3,stfl,0.24068811535835266,0.4114273190498352,1.2367926836013794,0.2571772336959839,366,0.3238072395324707,-1041.2497700759436,0.2170085459947586,1732,25984,,,calls,14,
4,tbats,0.24288570880889893,0.41200050711631775,1.2480851411819458,0.2595253884792328,366,0.3313230574131012,-2975.5521777910194,0.6038721203804016,1732,25984,,,calls,14,
