,name,mae,smape,mase_1,mase_p,period,rmse,ll,crps,fcast_len,train_len,score,score_name,folder,idx,train_waic
0,SVGP 100 WAIC 1,0.20634576678276062,0.4055587351322174,1.0955723524093628,0.21711832284927368,366,0.27153298258781433,-193.06613268685211,0.14868856966495514,1732,3468,-0.13057459890842438,waic,calls,1,-0.13033123314380646
1,PROPHET,0.26653966307640076,0.497687429189682,1.4151657819747925,0.28045472502708435,366,0.3463876247406006,-945.4395085441383,0.19565272331237793,1732,3468,,,calls,1,
2,PROPHETDEF,0.3433969020843506,0.5904814600944519,1.8232316970825195,0.36132439970970154,366,0.42914271354675293,-1351.9423516637708,0.24799175560474396,1732,3468,,,calls,1,
3,stfl,0.3271751403808594,0.5508852005004883,1.737103819847107,0.3442557454109192,366,0.4536515176296234,-1019.1148157822698,0.24079036712646484,1732,3468,,,calls,1,
4,tbats,0.3377726674079895,0.5774513483047485,1.7933703660964966,0.3554065227508545,366,0.4343870282173157,-1498.3138264988272,0.2859141230583191,1732,3468,,,calls,1,
