,name,mae,smape,mase_1,mase_p,period,rmse,ll,crps,fcast_len,train_len,score,score_name,folder,idx,train_waic
0,SVGP 100 WAIC 1,0.2888379991054535,0.505426287651062,1.4661375284194946,0.3080788850784302,366,0.37686842679977417,-807.2238547838313,0.20901891589164734,1732,8664,-0.47384071350097656,waic,calls,4,-0.47356805205345154
1,PROPHET,0.26054176688194275,0.4533332586288452,1.3225061893463135,0.2778977155685425,366,0.34339532256126404,-780.6839435563467,0.1901642382144928,1732,8664,,,calls,4,
2,PROPHETDEF,0.31601035594940186,0.5373833775520325,1.6040639877319336,0.3370613157749176,366,0.4056207537651062,-710.6355680293518,0.21875441074371338,1732,8664,,,calls,4,
3,stfl,0.22544872760772705,0.419009268283844,1.1443744897842407,0.24046695232391357,366,0.2966138422489166,-973.453876800985,0.20486263930797577,1732,8664,,,calls,4,
4,tbats,0.5399986505508423,0.8936767578125,2.741025447845459,0.5759705305099487,366,0.6143742203712463,-2427.764264483127,0.38764888048171997,1732,8664,,,calls,4,
