,name,mae,smape,mase_1,mase_p,period,rmse,ll,crps,fcast_len,train_len,score,score_name,folder,idx,train_waic
0,SVGP 100 WAIC 1,0.2774535119533539,0.4258975386619568,1.4335606098175049,0.29817330837249756,366,0.38957250118255615,-882.6827171507407,0.20792898535728455,1732,20788,-0.3235611617565155,waic,calls,11,-0.32350245118141174
1,PROPHET,0.2963778078556061,0.45538055896759033,1.5313396453857422,0.31851083040237427,366,0.4144241511821747,-1400.1118857814988,0.2226867824792862,1732,20788,,,calls,11,
2,PROPHETDEF,0.3089955747127533,0.46996012330055237,1.5965337753295898,0.33207085728645325,366,0.42855706810951233,-1550.5459103563119,0.23423224687576294,1732,20788,,,calls,11,
3,stfl,0.30176109075546265,0.4633611738681793,1.5591542720794678,0.32429611682891846,366,0.38266050815582275,-1168.94701564467,0.2437412142753601,1732,20788,,,calls,11,
4,tbats,0.2759637236595154,0.4258248805999756,1.4258631467819214,0.2965722382068634,366,0.3636583685874939,-2327.690511690324,0.41700422763824463,1732,20788,,,calls,11,
