,name,mae,smape,mase_1,mase_p,period,rmse,ll,crps,fcast_len,train_len,score,score_name,folder,idx,train_waic
0,SVGP 100 WAIC 1,0.23820386826992035,0.4104849398136139,1.2284836769104004,0.256033718585968,366,0.29939186573028564,-392.00813065108105,0.1687714010477066,1732,19056,-0.3382748067378998,waic,calls,10,-0.3382122814655304
1,PROPHET,0.23184390366077423,0.40164729952812195,1.1956835985183716,0.24919770658016205,366,0.2918272614479065,-334.1754226548145,0.16442742943763733,1732,19056,,,calls,10,
2,PROPHETDEF,0.25228583812713623,0.4311731457710266,1.3011083602905273,0.2711697518825531,366,0.31306689977645874,-480.20843348334904,0.1777978390455246,1732,19056,,,calls,10,
3,stfl,0.2808002233505249,0.43816477060317993,1.448164939880371,0.30181846022605896,366,0.34192875027656555,-1369.178348956526,0.25236776471138,1732,19056,,,calls,10,
4,tbats,0.42575404047966003,0.5852944254875183,2.1957321166992188,0.457622230052948,366,0.5058730244636536,-2521.152810826279,0.4769858121871948,1732,19056,,,calls,10,
